"","n_ord","dataset","ID_dataset","decimalLatitude","decimalLongitude","retener","anio","mes","dia","stateProvince","county","locality","habitat"
"5",5,"gbif","3308691914",15.74278,-96.17417,"si",2006,2,5,"Oaxaca","SANTA MARIA HUATULCO","4 km en linea recta (230 grados) al SW de Santa Cruz Huatulco",""
"6",6,"gbif","3308691713",17.981873,-101.632504,"si",1986,2,7,"Guerrero","LA UNION DE ISIDORO MONTES DE OCA","sobre MEX 134 3.5 km al suroeste de Vallecitos",""
"22",22,"gbif","3308540417",15.892898,-96.007349,"si",2000,2,13,"Oaxaca","SANTIAGO ASTATA","Barra de la Cruz, 5 km N, por el rí_o Chacalapa","Selva mediana caducifolia. Orilla de rio"
"26",26,"gbif","3308480119",18.39138003,-95.28906246,"si",1986,11,25,"Veracruz","SAN ANDRES TUXTLA","Pizapan, a 12 km de San Andres Tuxtla por el ramal del tren","Selva alta perennifolia, secundaria. Suelo cafíŠ arenoso, relictos de selva, zona muy desmontada para la agricultura y ganaderí_a"
"30",30,"gbif","3308376554",18.23302542,-96.4124249,"si",1983,3,10,"Oaxaca","","Presa Miguel Alemíçn, Temascal.","Vegetacií_n secundaria de selva mediana perennifolia. Suelo kíçrstico"
"31",31,"gbif","3308371689",16.07612945,-97.62868048,"si",1984,2,19,"Oaxaca","SAN PEDRO POCHUTLA","1.5 km al E de la desv. a Totoltepec, hacia las fincas Dolores e Independencia, la desv. estíç a 4 km al N de Chacalapa",""
"33",33,"gbif","3308295331",19.317,-96.483,"si",1973,1,12,"Veracruz","PUENTE NACIONAL","Rinconada","Baja, espinoso, caducifolio. Suelo negro-arcilloso, pedregoso. Asoc. Leguminosae y Euphorbiaceae"
"50",50,"gbif","3307993527",18.23378074,-96.39335303,"si",1985,12,8,"Oaxaca","","Presa Temazcal, a 2 km del vertedor Camino a vertedor-Las Margaritas","Vegetacií_n secundaria de selva mediana perennifolia. Clima cíçlido hí_medo. Suelo kíçrstico"
"55",55,"gbif","3307903935",17.54214231,-101.0565941,"si",1986,2,3,"Guerrero","PETATLAN","2 Km al NE de Coyuquilla",""
"57",57,"gbif","3307877164",19.37019007,-96.8178377,"si",1982,1,20,"Veracruz","","Cerca de la desviacií_n de Jalcomulco, carretera Xalapa-Tlaltetela","MATORRAL EN CAíďADA"
