"n_ord.x","extractn","tip_iapr_1","cluster_adm","color_admix","PC1","PC2","PC3"
1,"e005","e005_gro_Cuajinicuila",1,"#FEE08B",-0.0309470060366237,-0.0117645059668984,-0.00610303493905548
2,"e006","e006_gro_SnLAcatatlan",1,"#FEE08B",-0.0192903198526903,-0.0403384879128651,-0.00594066087359463
3,"e007","e007_gro_Ometep",1,"#FEE08B",0.0608795584312242,-0.0145858981272124,0.0112427408315306
4,"e008","e008_gro_Ayutla",1,"#FEE08B",0.00562302657769578,-0.0438030083332504,-0.00229755898264693
5,"e009","e009_gro_LaUniion",2,"#FDAE61",0.0121057193754912,-0.0544468217242247,-0.0082419459349182
6,"e010","e010_gro_Acapulco",2,"#FDAE61",0.0443883086529767,0.00636190783416179,0.00862293871699879
7,"e013","e013_chi_Arriaga",3,"#3288BD",0.0601468071108917,-0.0377718049057303,0.00203238035293712
8,"e014","e014_oax_SnMigPuerto",6,"#E6F598",0.0388450375782252,0.00205580841244701,0.00745277482926307
9,"e015","e015_col_Manzanillo",2,"#FDAE61",0.00801415173154493,-0.0304939124425356,-0.00227145368985716
10,"e016","e016_nay_Ruiz",5,"#9E0142",-0.0163934264309583,0.0378116161835178,0.0124623577887876
11,"e017","e017_nay_Tepic",9,"#D53E4F",-0.0264222947531299,0.0374238412424196,0.00915773600574549
12,"e018","e018_nay_Ahuacatl",9,"#D53E4F",-0.0423346128933226,0.00262586863286466,-0.00250168111780522
13,"e019","e019_nay_Tepic",9,"#D53E4F",-0.157108267126218,0.0260516786129575,-0.0109241464447635
14,"e020","e020_nay_Tepic",9,"#D53E4F",0.0578129275991671,-0.0192130713856438,0.00820360762552527
15,"e022","e022_ver_Soconusco",3,"#3288BD",0.000789355572340476,-0.013799303766114,-0.0079785217304803
16,"e023","e023_ver_Soconusco",3,"#3288BD",0.0266531345099624,-0.0415306401304188,0.00166900620625406
17,"e024","e024_ver_Soconusco",3,"#3288BD",-0.0141808860220809,0.0101134466853798,0.00123086268583869
18,"e025","e025_mich_Aquila",2,"#FDAE61",-0.0257345204744128,0.0374894516924082,0.00712745856489377
19,"e026","e026_mich_Coahuaya",2,"#FDAE61",0.0610510954682304,-0.0559416259741344,0.00262062129313888
20,"e027","e027_mich_Coahuaya",2,"#FDAE61",-0.00135137794498976,0.0311603245453943,0.00204212167186586
21,"e028","e028_mich_Coahuaya",2,"#FDAE61",0.0619801691618846,-0.0228602625850982,0.010547499787962
22,"e029","e029_col_Manzanillo",2,"#FDAE61",0.0536295629226231,-0.0494687913530166,0.00347879481146289
23,"e030","e030_col_Manzanillo",2,"#FDAE61",0.0463932719251543,0.0391592960074169,0.0136210079487728
24,"e031","e031_col_Manzanillo",2,"#FDAE61",0.0409971867599572,-0.0496484261229687,0.00772779015219607
25,"e032","e032_col_Manzanillo",2,"#FDAE61",-0.0621047658217638,0.0480860482357351,0.00582863736345055
26,"e033","e033_jal_BarraNavi",2,"#FDAE61",-0.0510769765439545,0.024345165728427,0.00121995245800742
27,"e034","e034_jal_BarraNavi",2,"#FDAE61",0.0723631509554509,0.0191081378037553,0.0152211054865641
28,"e035","e035_jal_BarraNavi",2,"#FDAE61",0.0584442755748435,-0.000834681819986648,0.00315587601019313
29,"e036","e036_jal_CaboCorr",5,"#9E0142",-0.012679874535713,0.0595276439151062,0.0102428505445087
30,"e037","e037_oax_SnMigPuerto",6,"#E6F598",-0.0144500508970508,0.039442081510106,-0.00547092156616011
31,"e038","e038_jal_PtoVallarta",7,"#F46D43",-0.0425401428376588,-0.00407733338800312,-0.00671480477008989
32,"e039","e039_jal_PtoVallarta",7,"#F46D43",-0.00317805951410338,-0.028502924384262,-0.00486368807208758
33,"e040","e040_nay_BahBand",9,"#D53E4F",-0.0756359608208477,0.0183940410951804,-0.010003842443679
34,"e041","e041_nay_BahBand",9,"#D53E4F",0.00939444573915372,0.0047707379607252,0.0029192983461865
35,"e042","e042_nay_BahBand",9,"#D53E4F",-0.00397605874756745,-0.0320986939212811,0.00321738203671282
36,"e043","e043_oax_SnMigPuerto",6,"#E6F598",-0.0801203326286216,0.0106483218499691,-0.0107821033928491
37,"e044","e044_nay_Compost",9,"#D53E4F",0.0358877401879606,-0.0280492784627768,0.00501930096965529
38,"e045","e045_nay_Compost",9,"#D53E4F",0.0612695099477,-0.0253317978045255,0.00586303251699433
39,"e046","e046_nay_SanBlas",9,"#D53E4F",0.0255823983576694,-0.0591117203013001,-0.00145756959086534
40,"e047","e047_oax_Brisas",6,"#E6F598",-0.0321380929764681,-0.0345102051548525,-0.0102165706442229
41,"e048","e048_nay_SanBlas",9,"#D53E4F",-0.0194260181060429,-0.0668985401517477,-0.00718055727337611
42,"e049","e049_sin_Concord",9,"#D53E4F",-0.0107038457204493,-0.0442119672185689,-2.38965278644452e-06
43,"e050","e050_sin_Concord",9,"#D53E4F",0.0708985327940352,-0.0122641394721698,0.0115970628948375
44,"e051","e051_sin_Concord",9,"#D53E4F",0.0670933224064377,-0.00448554117055353,-0.0017387914829533
45,"e052","e052_sin_Concord",9,"#D53E4F",0.076060036145692,0.0300096569202133,0.010519824531738
46,"e053","e053_chi_Mapastepec",8,"#5E4FA2",0.0487347190224214,0.00477749508462351,0.00464793123728397
47,"e054","e054_oax_SnMigPuerto",6,"#E6F598",-0.0337088294429586,-0.0399419272701076,-0.00569492793937358
48,"e055","e055_chi_Mapastepec",8,"#5E4FA2",0.0540936678753848,-0.0189809865327611,0.00565527765702157
49,"e056","e056_chi_Mapastepec",8,"#5E4FA2",-0.039083040869618,0.0098867896329179,2.74970536363684e-05
