"","Sample","AssignedCluster"
"eIm_005","eIm_005",1
"eIm_006","eIm_006",1
"eIm_007","eIm_007",1
"eIm_008","eIm_008",1
"eIm_009","eIm_009",2
"eIm_010","eIm_010",2
"eIm_013","eIm_013",3
"eIm_014","eIm_014",6
"eIm_015","eIm_015",2
"eIm_016","eIm_016",5
"eIm_017","eIm_017",9
"eIm_018","eIm_018",9
"eIm_019","eIm_019",9
"eIm_020","eIm_020",9
"eIm_022","eIm_022",3
"eIm_023","eIm_023",3
"eIm_024","eIm_024",3
"eIm_025","eIm_025",2
"eIm_026","eIm_026",2
"eIm_027","eIm_027",2
"eIm_028","eIm_028",2
"eIm_029","eIm_029",2
"eIm_030","eIm_030",2
"eIm_031","eIm_031",2
"eIm_032","eIm_032",2
"eIm_033","eIm_033",2
"eIm_034","eIm_034",2
"eIm_035","eIm_035",2
"eIm_036","eIm_036",5
"eIm_037","eIm_037",6
"eIm_038","eIm_038",7
"eIm_039","eIm_039",7
"eIm_040","eIm_040",9
"eIm_041","eIm_041",9
"eIm_042","eIm_042",9
"eIm_043","eIm_043",6
"eIm_044","eIm_044",9
"eIm_045","eIm_045",9
"eIm_046","eIm_046",9
"eIm_047","eIm_047",6
"eIm_048","eIm_048",9
"eIm_049","eIm_049",9
"eIm_050","eIm_050",9
"eIm_051","eIm_051",9
"eIm_052","eIm_052",9
"eIm_053","eIm_053",8
"eIm_054","eIm_054",6
"eIm_055","eIm_055",8
"eIm_056","eIm_056",8
"eIm_057","eIm_057",8
"eIm_058","eIm_058",8
"eIm_059","eIm_059",8
"eIm_060","eIm_060",8
"eIm_061","eIm_061",8
"eIm_062","eIm_062",8
"eIm_063","eIm_063",3
"eIm_064","eIm_064",3
"eIm_065","eIm_065",6
"eIm_066","eIm_066",6
"eIm_067","eIm_067",3
"eIm_068","eIm_068",3
"eIm_069","eIm_069",3
"eIm_071","eIm_071",3
"eIm_072","eIm_072",3
"eIm_073","eIm_073",3
"eIm_074","eIm_074",3
"eIm_075","eIm_075",3
"eIm_076","eIm_076",3
"eIm_077","eIm_077",3
"eIm_078","eIm_078",3
"eIm_079","eIm_079",3
"eIm_080","eIm_080",3
"eIm_081","eIm_081",3
"eIm_082","eIm_082",3
"eIm_084","eIm_084",6
"eIm_085","eIm_085",3
"eIm_086","eIm_086",3
"eIm_087","eIm_087",3
"eIm_088","eIm_088",3
"eIm_089","eIm_089",10
"eIm_090","eIm_090",10
"eIm_091","eIm_091",1
"eIm_092","eIm_092",10
"eIm_093","eIm_093",10
"eIm_094","eIm_094",10
"eIm_095","eIm_095",10
"eIm_096","eIm_096",10
"eIm_097","eIm_097",10
"eIm_098","eIm_098",10
"eIm_099","eIm_099",10
"eIm_100","eIm_100",10
"eIm_101","eIm_101",10
"eIm_102","eIm_102",10
"eIm_103","eIm_103",10
"eIm_104","eIm_104",1
"eIm_105","eIm_105",4
"eIm_106","eIm_106",4
"eIm_107","eIm_107",1
"eIm_108","eIm_108",4
"eIm_109","eIm_109",1
"eIm_110","eIm_110",4
"eIm_111","eIm_111",4
"eIm_112","eIm_112",4
"eIm_113","eIm_113",4
"eIm_114","eIm_114",4
"eIm_115","eIm_115",4
"eIm_116","eIm_116",4
"eIm_117","eIm_117",4
"eIm_118","eIm_118",4
"eIm_119","eIm_119",4
"eIm_120","eIm_120",4
"eIm_121","eIm_121",4
"eIm_122","eIm_122",4
"eIm_123","eIm_123",4
"eIm_124","eIm_124",4
"eIm_125","eIm_125",1
"eIm_126","eIm_126",4
"eIm_127","eIm_127",4
"eIm_128","eIm_128",4
"eIm_129","eIm_129",4
"eIm_130","eIm_130",4
"eIm_131","eIm_131",4
"eIm_132","eIm_132",4
"eIm_133","eIm_133",4
"eIm_134","eIm_134",4
"eIm_135","eIm_135",4
"eIm_136","eIm_136",2
"eIm_137","eIm_137",2
"eIm_138","eIm_138",2
"eIm_139","eIm_139",2
"eIm_140","eIm_140",2
"eIm_141","eIm_141",2
"eIm_143","eIm_143",2
"eIm_145","eIm_145",2
"eIm_146","eIm_146",2
"eIm_147","eIm_147",2
"eIm_148","eIm_148",2
"eIm_149","eIm_149",2
"eIm_150","eIm_150",2
"eIm_151","eIm_151",2
"eIm_152","eIm_152",2
"eIm_153","eIm_153",2
"eIm_162","eIm_162",2
"eIm_163","eIm_163",2
"eIm_164","eIm_164",2
"eIm_165","eIm_165",2
"eIm_166","eIm_166",4
"eIm_167","eIm_167",1
"eIm_168","eIm_168",4
"eIm_169","eIm_169",4
"eIm_170","eIm_170",1
"eIm_171","eIm_171",4
"eIm_172","eIm_172",4
"eIm_173","eIm_173",4
"eIm_174","eIm_174",10
"eIm_175","eIm_175",10
"eIm_176","eIm_176",10
"eIm_177","eIm_177",10
"eIm_178","eIm_178",3
"eIm_179","eIm_179",3
"eIm_180","eIm_180",3
"eIm_181","eIm_181",3
"eIm_182","eIm_182",3
"eIm_183","eIm_183",3
"eIm_184","eIm_184",3
"eIm_185","eIm_185",3
"eIm_186","eIm_186",3
"eIm_187","eIm_187",6
"eIm_190","eIm_190",8
"eIm_191","eIm_191",8
"eIm_192","eIm_192",8
"eIm_193","eIm_193",6
"eIm_194","eIm_194",9
"eIm_195","eIm_195",9
"eIm_196","eIm_196",7
"eIm_197","eIm_197",5
"eIm_199","eIm_199",2
"eIm_200","eIm_200",2
